﻿相对路径,文件名,大小(字节),MD5,年份,批次,分类
2020/20201221/集客无线AP_QCA_IPQ/ubi-JIKEAP_AX1800MI.img.rar,ubi-JIKEAP_AX1800MI.img.rar,12447094,0d4cda642e0726fa14422e7d74d0dffe,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/ubi-JIKEAP_AX5RM.img.rar,ubi-JIKEAP_AX5RM.img.rar,12446445,8d415e7ce1b4c82adb3973590404696b,2020,20201221,集客无线AP_QCA_IPQ
2020/20201221/集客无线AP_QCA_IPQ/ubi-JIKEAP_CM520.img.rar,ubi-JIKEAP_CM520.img.rar,12751540,14e65cc4eb5c19c3bac1ddcb1823701a,2020,20201221,集客无线AP_QCA_IPQ
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP0141_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP0141_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6567439,2b042ebe1332c1c2dc7ac196ace97867,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP110T_QCA933X_100M_EPORT_FREE_6.3_2020122800.bin.rar,JIKEAP_AP110T_QCA933X_100M_EPORT_FREE_6.3_2020122800.bin.rar,6172475,24422987fc98351b42a2f763b6b06f24,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112F_QCA953X_100M_16M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP112F_QCA953X_100M_16M_EPORT_6.3_2020122800.bin.rar,6174892,dd999400e7abca370c6d95f22de02faf,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112Fv2_QCA953X_100M_8M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP112Fv2_QCA953X_100M_8M_EPORT_6.3_2020122800.bin.rar,6173680,a0d96aca08105aa4f723a9c052b8cec4,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112J_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP112J_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6174933,d193691178310a4b6f58219698e83a3a,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112Q_QCA934X_100M_EPORT_FREE_6.3_2020122800.bin.rar,JIKEAP_AP112Q_QCA934X_100M_EPORT_FREE_6.3_2020122800.bin.rar,6174194,aa3a2465358bb8adf0648d5f9483f0f9,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112T_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP112T_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6173592,5a8486a360a2cfcaa187afb1d70874e9,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP112Y_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP112Y_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6175247,38e0b5d738395d029281f52d2fcaa42c,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP116F_QCA953X_100M_QCA9887_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP116F_QCA953X_100M_QCA9887_EPORT_6.3_2020122800.bin.rar,6536464,6c078e61591b09331e8d74298971c710,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP116Q_QCA953X_100M_QCA9887_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP116Q_QCA953X_100M_QCA9887_EPORT_6.3_2020122800.bin.rar,6536480,92cab5f1433fb22833a802a3342f4e19,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP117D_QCA955X_1000M_QCA9880_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP117D_QCA955X_1000M_QCA9880_EPORT_6.3_2020122800.bin.rar,7356731,60cab5e6b9b38bf1f64ff4c85ab1b3cb,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP117Q_QCA956X_1000M_QCA9882_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP117Q_QCA956X_1000M_QCA9882_EPORT_6.3_2020122800.bin.rar,7356706,d43604223cea70089c3563ce1bb1ce4b,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP120_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP120_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6568463,ef880072ca8553aa69c3069ac97a1b44,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP126F_QCA953X_100M_8M_6.3_2020122800.bin.rar,JIKEAP_AP126F_QCA953X_100M_8M_6.3_2020122800.bin.rar,6173781,6e38c9bef193aca97af14e22aa99b9eb,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP130F-H_QCA953X_100M_6.3_2020122800.bin.rar,JIKEAP_AP130F-H_QCA953X_100M_6.3_2020122800.bin.rar,6174891,74fd5fa58cb1e6ab1c7bbfc4f2d73d87,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP130T_QCA934X_100M_AR9341_FREE_6.3_2020122800.bin.rar,JIKEAP_AP130T_QCA934X_100M_AR9341_FREE_6.3_2020122800.bin.rar,6173537,0fc54a5b102b927645b26d036ed51d84,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP135T-H_QCA953X_100M_AR9341_6.3_2020122800.bin.rar,JIKEAP_AP135T-H_QCA953X_100M_AR9341_6.3_2020122800.bin.rar,6173629,79322acf51573ce556cdd146497f7bab,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP136Y-H_QCA953X_100M_6.3_2020122800.bin.rar,JIKEAP_AP136Y-H_QCA953X_100M_6.3_2020122800.bin.rar,6174932,20aaa601f6c277a2d546eb59e17d279d,2020,20201228,集客无线AP_QCA_MIPS
